year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats
1995,,262803276,1798792,21606,97470,,580509,1099207,12063935,2593784,7997710,1472441,
1996,,265228572,1688540,19645,96252,,535594,1037049,11805323,2506400,7904685,1394238,
1997,,267783607,1636099,18211,96153,,498534,1023201,11558975,2461026,7743760,1354189,
1998,,270248003,1533887,16974,93144,,447186,976583,10951827,2332735,7376311,1242781,
1999,,272690813,1426044,15522,89411,,409371,911740,10208334,2100739,6955520,1152075,
2000,,281421906,1425486,15586,90178,,408016,911706,10182584,2050992,6971590,1160002,
2001,,285317559,1439480,16037,90863,,423557,909023,10437189,2116531,7092267,1228391,"The murder and nonnegligent homicides that occurred as a result of the events of September 11, 2001, are not included in this table."
2002,,287973924,1423677,16229,95235,,420806,891407,10455277,2151252,7057379,1246646,
2003,,290788976,1383676,16528,93883,,414235,859030,10442862,2154834,7026802,1261226,
2004,,293656842,1360088,16148,95089,,401470,847381,10319386,2144446,6937089,1237851,
2005,,296507061,1390745,16740,94347,,417438,862220,10174754,2155448,6783447,1235859,
2006,,299398484,1435123,17309,94472,,449246,874096,10019601,2194993,6626363,1198245,
2007,,301621157,1422970,17128,92160,,447324,866358,9882212,2190198,6591542,1100472,
2008,,304059724,1394461,16465,90750,,443563,843683,9774152,2228887,6586206,959059,
2009,,307006550,1325896,15399,89241,,408742,812514,9337060,2203313,6338095,795652,
2010,,309330219,1251248,14722,85593,,369089,781844,9112625,2168459,6204601,739565,
2011,,311587816,1206031,14661,84175,,354772,752423,9052743,2185140,6151095,716508,
2012,,313873685,1217057,14856,85141,,355051,762009,9001992,2109932,6168874,723186,
2013,,316497531,1168298,14319,82109,113695,345093,726777,8651892,1932139,6019465,700288,
2014,,318907401,1153022,14164,84864,118027,322905,731089,8209010,1713153,5809054,686803,
2015,,320896618,1199310,15883,126134,91261,328109,764057,8024115,1587564,5723488,713063,
2016,,323127513,1248185,17250,130603,95730,332198,803007,7919035,1515096,5638455,765484,
1995,AL,4253000,26894,475,1350,,7900,17169,179294,43586,120967,14741,
1996,AL,4273000,24159,444,1397,,7124,15194,181803,42821,123350,15632,
1997,AL,4319000,24379,426,1396,,6931,15626,186809,43786,127616,15407,
1998,AL,4352000,22286,354,1443,,5698,14791,177779,41965,120943,14871,
1999,AL,4369862,21421,345,1513,,5297,14266,171398,38648,119616,13134,
2000,AL,4447100,21620,329,1482,,5702,14107,180539,40331,127399,12809,
2001,AL,4468912,19582,379,1369,,5584,12250,173253,40642,119992,12619,
2002,AL,4478896,19931,303,1664,,5962,12002,180400,42578,123932,13890,
2003,AL,4503726,19331,299,1656,,6038,11338,182241,43245,124039,14957,
2004,AL,4525375,19324,254,1742,,6042,11286,182340,44666,123650,14024,
2005,AL,4548327,19678,374,1564,,6447,11293,177393,43473,120780,13140,
2006,AL,4599030,19553,382,1646,,7062,10463,181249,44780,121451,15018,
2007,AL,4627851,20775,412,1548,,7398,11417,184082,45379,124465,14238,
2008,AL,4661900,21110,351,1618,,7346,11795,190416,50411,126539,13466,
2009,AL,4708708,21194,322,1504,,6265,13103,178007,48844,118072,11091,
2010,AL,4785401,18363,275,1355,,4864,11869,168828,42484,115564,10780,
2011,AL,4803689,20166,299,1370,,4906,13591,173192,51119,111411,10662,"because of changes in the state's reporting practices, figures are not comparable to previous years' data.  "
2012,AL,4817528,21693,342,1296,,5020,15035,168878,47481,111523,9874,
2013,AL,4833996,20834,346,1449,2055,4645,13788,161835,42410,108862,10563,
2014,AL,4846411,20727,276,1425,2005,4702,13744,154087,39723,104223,10141,
2015,AL,4853875,22957,348,2037,1449,4612,15960,144785,35265,99182,10338,
2016,AL,4863300,25886,407,1916,1385,4686,18877,143362,34065,97574,11723,
1995,AK,604000,4656,55,485,,937,3179,30097,5055,21891,3151,
1996,AK,607000,4417,45,398,,710,3264,28667,5118,20557,2992,
1997,AK,609000,4270,54,403,,648,3165,27840,4276,20780,2784,
1998,AK,614000,4015,41,421,,532,3021,25316,4098,18611,2607,
1999,AK,619500,3908,52,517,,566,2773,23099,3787,16654,2658,
2000,AK,626932,3554,27,497,,490,2540,23087,3899,16838,2350,
2001,AK,633630,3735,39,501,,514,2681,23160,3847,16695,2618,
2002,AK,641482,3627,33,511,,489,2594,24118,3908,17739,2471,
2003,AK,648280,3877,39,605,,446,2787,24386,3874,18051,2461,
2004,AK,657755,4159,37,558,,447,3117,22172,3773,16159,2240,
2005,AK,663253,4194,32,538,,537,3087,23975,4131,17249,2595,
2006,AK,670053,4610,36,512,,600,3462,23975,4155,17284,2536,
2007,AK,683478,4520,43,545,,581,3351,23096,3734,16929,2433,
2008,AK,686293,4475,27,447,,645,3356,20090,3237,15225,1628,
2009,AK,698473,4424,22,513,,654,3235,20538,3600,15251,1687,
2010,AK,714146,4537,31,533,,594,3379,20259,3105,15535,1619,
2011,AK,723860,4416,30,436,,576,3374,19094,2852,14854,1388,
2012,AK,730307,4412,30,583,,630,3169,20037,2950,15565,1522,
2013,AK,737259,4709,34,657,925,623,3127,21211,2917,16599,1695,
2014,AK,737046,4684,41,553,771,629,3243,20334,3150,15445,1739,
2015,AK,737709,5391,59,900,648,761,3671,20806,3511,15249,2046,
2016,AK,741894,5966,52,1053,757,850,4011,24876,4053,17766,3057,
1995,AZ,4218000,30095,439,1418,,7329,20909,316355,59762,207763,48830,
1996,AZ,4428000,27963,377,1381,,7429,18776,284964,55630,188300,41034,
1997,AZ,4555000,28411,375,1492,,7547,18997,299323,60077,195045,44201,
1998,AZ,4669000,26984,376,1451,,7715,17442,280001,56473,183137,40391,
1999,AZ,4778332,26334,384,1383,,7288,17279,255401,49423,167731,38247,
2000,AZ,5130632,27281,359,1577,,7504,17841,271811,51902,176705,43204,
2001,AZ,5306966,28675,400,1518,,8868,17889,293874,54821,186850,52203,
2002,AZ,5441125,30171,387,1608,,8000,20176,318296,59087,201541,57668,
2003,AZ,5579222,28638,441,1856,,7619,18722,314335,58613,198725,56997,
2004,AZ,5739879,28952,414,1896,,7721,18921,291203,56885,179012,55306,
2005,AZ,5953007,30478,445,2006,,8579,19448,287345,56328,176112,54905,
2006,AZ,6166318,33456,533,2449,,9491,20983,294389,59418,178321,56650,
2007,AZ,6338755,32835,548,2353,,9764,20170,287308,59988,177076,50244,
2008,AZ,6500180,31567,462,2200,,9809,19096,266653,58606,169460,38587,
2009,AZ,6595778,28128,380,2279,,8199,17270,236721,54308,155976,26437,
2010,AZ,6413158,26528,408,2191,,6953,16976,226802,50932,154137,21733,
2011,AZ,6467315,26789,397,2499,,7145,16748,229896,54695,155400,19801,
2012,AZ,6551149,28077,358,2282,,7383,18054,231701,52911,159808,18982,
2013,AZ,6634997,27576,355,2344,3174,6656,17391,223294,48292,158036,16966,
2014,AZ,6728783,26422,311,2356,3272,6225,16614,213406,43412,152683,17311,
2015,AZ,6817565,27968,306,3109,2268,6360,18193,207184,38010,152388,16786,
2016,AZ,6931071,32583,380,3290,2452,7055,21858,206432,37736,150275,18421,
1995,AR,2484000,13741,259,925,,3122,9435,102780,24763,69935,8082,
1996,AR,2510000,13161,219,1046,,2864,9032,104790,23925,73010,7855,
1997,AR,2523000,13293,250,1098,,2814,9131,105759,25568,72253,7938,
1998,AR,2538000,12442,201,893,,2442,8906,96271,23559,65525,7187,
1999,AR,2551373,10848,143,710,,2024,7971,92283,21692,63927,6664,
2000,AR,2673400,11904,168,848,,2001,8887,98115,21443,69740,6932,
2001,AR,2694698,12190,148,892,,2181,8969,99106,22196,69590,7320,
2002,AR,2706268,11501,142,754,,2524,8081,101171,23229,71129,6813,
2003,AR,2727774,12449,180,911,,2227,9131,99084,25016,68061,6007,
2004,AR,2750000,13814,176,1183,,2372,10083,110911,30151,74242,6518,
2005,AR,2775708,14670,189,1202,,2532,10747,112914,30118,75510,7286,
2006,AR,2810872,15538,205,1325,,2749,11259,112025,31864,72646,7515,
2007,AR,2834797,15226,198,1294,,3105,10629,112130,32035,73096,6999,
2008,AR,2855390,14649,165,1463,,2777,10244,110360,33912,69905,6543,
2009,AR,2889450,14905,179,1378,,2576,10772,109078,34753,68228,6097,
2010,AR,2921588,14711,134,1321,,2369,10887,103820,32463,65796,5561,
2011,AR,2938582,14173,160,1230,,2357,10426,110430,34016,70645,5769,
2012,AR,2949828,13851,174,1233,,2310,10134,109389,32673,70982,5734,
2013,AR,2958765,13705,158,1135,1490,2261,9796,106477,30369,70430,5678,
2014,AR,2966835,14248,175,1291,1816,2037,10220,99452,24816,69001,5635,
2015,AR,2977853,15769,189,2008,1425,2117,11455,97391,22851,68720,5820,
2016,AR,2988248,16461,216,2143,1545,2120,11982,97673,23771,66747,7155,
1995,CA,31589000,305154,3531,10554,,104611,186458,1536830,353895,902456,280479,
1996,CA,31878000,274996,2916,10244,,94222,167614,1385135,312212,830457,242466,
1997,CA,32268000,257582,2579,10189,,81468,163346,1312367,299240,784405,228722,
1998,CA,32667000,229883,2171,9782,,68782,149148,1188791,269012,724262,195517,
1999,CA,33145121,207879,2005,9363,,60039,136472,1053285,223814,660991,168480,
2000,CA,33871648,210531,2079,9785,,60249,138418,1056183,222293,651855,182035,
2001,CA,34600463,212867,2206,9960,,64614,136087,1134189,232273,697739,204177,
2002,CA,35001986,208388,2395,10198,,64968,130827,1176484,238428,715692,222364,
2003,CA,35462712,205551,2407,9994,,63770,129380,1215086,242274,731486,241326,
2004,CA,35842038,189175,2392,9615,,61768,115400,1227194,245903,728687,252604,
2005,CA,36154147,190178,2503,9392,,63622,114661,1200531,250521,692467,257543,
2006,CA,36457549,194483,2486,9235,,71142,111620,1159988,247230,669103,243655,
2007,CA,36553215,191561,2262,9046,,70706,109547,1112510,237850,654526,220134,
2008,CA,36756666,185329,2142,8903,,69388,104896,1080996,237811,650656,192529,
2009,CA,36961664,174934,1972,8713,,64093,100156,1009433,230198,615402,163833,
2010,CA,37338198,164133,1809,8331,,58116,95877,981939,228857,600558,152524,
2011,CA,37683933,154943,1792,7665,,54291,91195,973822,230075,596905,146842,
2012,CA,37999878,160944,1884,7837,,56521,94702,1049465,245767,635090,168608,
2013,CA,38431393,154739,1746,7464,10324,53640,89029,1018907,232058,621557,165292,
2014,CA,38792291,153763,1700,8389,11578,48681,91804,947193,202669,592673,151851,
2015,CA,38993940,166883,1861,12811,9341,52862,99349,1024914,197404,656517,170993,
2016,CA,39250017,174796,1930,13702,10149,54789,104375,1002070,188304,637010,176756,
1995,CO,3747000,16494,216,1480,,3604,11194,185705,35001,136184,14520,
1996,CO,3823000,15463,180,1765,,3755,9763,180218,34436,130576,15206,
1997,CO,3893000,14139,157,1677,,3242,9063,166902,30994,119801,16107,
1998,CO,3971000,15008,183,1883,,3238,9704,163189,31231,115871,16087,
1999,CO,4056133,13811,185,1679,,3056,8891,151002,26979,109228,14795,
2000,CO,4301261,14367,134,1774,,3034,9425,156937,27133,112843,16961,
2001,CO,4430989,15492,158,1930,,3555,9849,170887,28533,121360,20994,
2002,CO,4501051,15882,179,2066,,3579,10058,180054,31678,125193,23183,
2003,CO,4547633,15757,185,1913,,3738,9921,179706,32394,124496,22816,
2004,CO,4601821,17121,201,1945,,3739,11236,180322,33010,123308,24004,
2005,CO,4663295,18498,173,2026,,3948,12351,188449,34746,127602,26101,
2006,CO,4753377,18794,171,2158,,3824,12641,163439,32411,110372,20656,
2007,CO,4861515,17101,155,2075,,3461,11410,145808,28633,100519,16656,
2008,CO,4939456,17480,165,2151,,3404,11760,139340,28054,97937,13349,
2009,CO,5024748,17022,159,2269,,3371,11223,134196,26637,95079,12480,
2010,CO,5047692,16339,129,2230,,3164,10816,135001,26196,97534,11271,
2011,CO,5116302,16085,155,2285,,3299,10346,132781,25725,96054,11002,
2012,CO,5189458,15951,152,2122,,3392,10285,139355,26163,101091,12101,
2013,CO,5272086,16099,174,2198,2963,3136,9826,139974,25075,102375,12524,
2014,CO,5355588,16487,150,2236,3089,3037,10211,135789,23502,99688,12599,
2015,CO,5448819,17348,173,3328,2422,3315,10532,144044,23490,104532,16022,
2016,CO,5540545,18983,204,3555,2619,3528,11696,151850,23903,108336,19611,
1995,CT,3275000,13293,150,776,,5345,7022,134188,29095,87401,17692,
1996,CT,3274000,13490,158,755,,5552,7025,124924,27574,81328,16022,
1997,CT,3270000,12781,124,740,,4999,6918,117505,24143,78821,14541,
1998,CT,3274000,11993,135,728,,4379,6751,111978,21801,77472,12705,
1999,CT,3282031,11342,107,654,,4054,6527,99894,19298,69299,11297,
2000,CT,3405565,11058,98,678,,3832,6450,99033,17436,68498,13099,
2001,CT,3434602,11492,105,639,,4183,6565,95299,17159,65762,12378,
2002,CT,3458587,10807,84,740,,4069,5914,93426,17111,64735,11580,
2003,CT,3486960,11045,112,698,,4212,6023,92981,16043,65568,11370,
2004,CT,3498966,10113,100,755,,4188,5070,93942,15959,66770,11213,
2005,CT,3500701,9542,105,712,,3933,4792,90270,15245,64416,10609,
2006,CT,3504809,10505,137,696,,4460,5212,90638,15583,64765,10290,
2007,CT,3502309,10547,113,690,,4303,5441,86528,15640,60937,9951,
2008,CT,3501252,10737,132,680,,4043,5882,87210,15107,63212,8891,
2009,CT,3518288,10588,106,657,,4001,5824,82625,15172,59992,7461,
2010,CT,3575498,10083,133,595,,3553,5802,78259,15145,56413,6701,
2011,CT,3586717,9889,129,689,,3689,5382,77205,15468,55067,6670,
2012,CT,3591765,10183,117,933,,3709,5424,77169,14787,55904,6478,
2013,CT,3599341,9439,91,647,891,3551,4906,71274,12934,52099,6241,
2014,CT,3594762,8575,89,579,794,3172,4520,69326,12017,51195,6114,
2015,CT,3584730,7938,116,798,585,2925,4099,65610,10286,48898,6426,
2016,CT,3576452,8123,78,763,561,2703,4579,64664,10045,47512,7107,
1995,DE,717000,5198,25,575,,1425,3173,31790,6491,22329,2970,
1996,DE,725000,4845,31,454,,1304,3056,30643,5830,21665,3148,
1997,DE,732000,5753,22,428,,1783,3520,36578,6421,25904,4253,
1998,DE,744000,5672,21,499,,1445,3707,34230,6395,24649,3186,The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide.
1999,DE,753538,5534,24,529,,1492,3489,30922,5245,22634,3043,
2000,DE,783600,5363,25,424,,1394,3520,29727,5216,21360,3151,
2001,DE,796599,4868,23,420,,1156,3269,27399,5144,19476,2779,
2002,DE,805945,4836,26,358,,1154,3298,26967,5355,18555,3057,
2003,DE,818166,5525,21,370,,1441,3693,27943,6066,18933,2944,
2004,DE,830069,5105,28,357,,1343,3377,27256,5669,19285,2302,
2005,DE,841741,5332,37,377,,1306,3612,26245,5811,18085,2349,
2006,DE,853476,5983,42,417,,1791,3733,29670,6337,20449,2884,
2007,DE,864764,6100,39,341,,1763,3957,29216,6420,20454,2342,
2008,DE,873092,6187,57,371,,1847,3912,31385,6783,22045,2557,
2009,DE,885122,5713,41,395,,1680,3597,29685,6943,20836,1906,
2010,DE,899792,5608,51,326,,1839,3392,31078,7550,21593,1935,
2011,DE,908137,5144,48,307,,1558,3231,31163,7617,22001,1545,
2012,DE,917053,5048,56,249,,1498,3245,30707,7389,21880,1438,
2013,DE,925240,4633,41,278,399,1233,2960,29001,6299,21347,1355,
2014,DE,935968,4568,50,274,390,1271,2857,27915,5765,20885,1265,
2015,DE,944076,4760,62,361,257,1240,3097,25545,4797,19555,1193,
2016,DE,952065,4844,56,308,221,1359,3121,26334,5023,19791,1520,
1995,DC,554000,14744,360,292,,6864,7228,52697,10185,32319,10193,
1996,DC,543000,13411,397,260,,6444,6310,51188,9828,31385,9975,
1997,DC,529000,10708,301,218,,4501,5688,41341,6963,26809,7569,
1998,DC,523000,8988,260,190,,3606,4932,37222,6361,24360,6501,
1999,DC,519000,8448,241,248,,3344,4615,33420,5067,21701,6652,District of Columbia data include reports from the Zoological Police
2000,DC,572059,8626,239,251,,3554,4582,33000,4745,21655,6600,District of Columbia data include reports from the Zoological Police
2001,DC,573822,9195,231,181,,3780,5003,35232,4949,22313,7970,District of Columbia data include reports from the Zoological Police
2002,DC,569157,9322,264,262,,3834,4962,36477,5170,21708,9599,District of Columbia data include reports from the Zoological Police and the Metro Transit Police
2003,DC,557620,9061,249,274,,3941,4597,32696,4671,18119,9906,District of Columbia data include reports from the Zoological Police
2004,DC,554239,7590,198,222,,3202,3968,26896,3946,14542,8408,District of Columbia data include reports from the Zoological Police
2005,DC,582049,8032,195,166,,3700,3971,26133,3577,14836,7720,District of Columbia data include reports from the Zoological Police
2006,DC,581530,8772,169,185,,3829,4589,27064,3835,15908,7321,District of Columbia data include reports from the Zoological Police
2007,DC,588292,8325,181,192,,4265,3687,28922,3926,17390,7606,District of Columbia data include reports from the Zoological Police
2008,DC,591833,8509,186,186,,4430,3707,30211,3788,19958,6465,District of Columbia data include reports from the Zoological Police
2009,DC,599657,8089,145,150,,4404,3390,28495,3696,19267,5532,
2010,DC,604912,8026,132,187,,4325,3382,28802,4233,19514,5055,
2011,DC,619020,7433,108,173,,4094,3058,29654,3850,21347,4457,
2012,DC,633427,7866,88,236,,4037,3505,30757,3519,23575,3663,2012 data includes offenses reported by the Zoological Police and the Metro Transit Police.
2013,DC,649111,8415,103,297,395,4082,3835,31097,3316,24547,3234,
2014,DC,659836,8199,105,349,472,3497,4125,34147,3466,26898,3783,
2015,DC,670377,8538,162,494,365,3746,4136,31444,2971,25208,3265,
2016,DC,681170,8214,139,532,401,3480,4063,32716,2361,27382,2973,
1995,FL,14166000,151711,1037,6887,,42485,101302,939288,215657,612311,111320,
1996,FL,14400000,151350,1077,7508,,41643,101122,928273,219056,605448,103769,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies
1997,FL,14654000,149996,1012,7599,,40459,100926,915613,213926,594492,107195,
1998,FL,14916000,140016,967,7404,,36198,95447,887107,203105,579752,104250,
1999,FL,15111244,129044,859,6990,,31969,89226,808674,181378,534105,93191,
2000,FL,15982378,129777,903,7057,,31809,90008,780377,172898,518298,89181,
2001,FL,16373330,130713,874,6641,,32867,90331,782517,176052,516548,89917,
2002,FL,16691701,128721,911,6753,,32581,88476,777236,177242,511478,88516,
2003,FL,16999181,124280,924,6727,,31523,85106,757696,170644,505489,81563,
2004,FL,17385430,123754,946,6612,,29997,86199,727141,166332,482484,78325,
2005,FL,17768191,125957,883,6592,,30141,88341,712998,164783,472912,75303,
2006,FL,18089888,129602,1129,6475,,34147,87851,721101,170873,473774,76454,
2007,FL,18251243,131878,1202,6149,,38155,86372,746249,181836,490783,73630,
2008,FL,18328340,126256,1168,5972,,36268,82848,758889,188472,506902,63515,
2009,FL,18537969,113541,1017,5501,,30911,76112,712010,181884,479867,50259,
2010,FL,18838613,101969,987,5373,,26086,69523,669035,169119,458454,41462,
2011,FL,19082262,98198,984,5273,,25622,66319,671200,170171,461408,39621,
2012,FL,19320749,94087,1009,5260,,23889,63929,632988,153563,442095,37330,
2013,FL,19600311,91993,972,4765,6767,23200,61054,607170,138915,433344,34911,
2014,FL,19905569,91345,982,5038,7132,21621,61610,583774,121379,426197,36198,
2015,FL,20244914,93625,1041,7552,5396,21137,63895,570270,109268,420341,40661,
2016,FL,20612439,88700,1111,7598,5528,20175,59816,553812,100325,410352,43135,
1995,GA,7201000,47317,683,2539,,14777,29318,385005,76324,264872,43809,
1996,GA,7353000,46966,630,2357,,15100,28879,416986,81968,288803,46215,
1997,GA,7486000,45408,563,2328,,15473,27044,388155,81320,262263,44572,
1998,GA,7642000,43762,618,2322,,14308,26514,373717,75720,255459,42538,
1999,GA,7788240,41585,583,2319,,12962,25721,359383,71429,247834,40120,
2000,GA,8186453,41319,651,1968,,13250,25450,347630,68488,240440,38702,
2001,GA,8405677,41671,598,2180,,14402,24491,347872,71799,238484,37589,
2002,GA,8544005,39271,606,2108,,13432,23125,346559,73932,234591,38036,
2003,GA,8676460,39435,657,2234,,14043,22501,369589,79001,247196,43392,
2004,GA,8918129,40217,613,2387,,13656,23561,376656,82992,249426,44238,
2005,GA,9132553,40725,564,2143,,14041,23977,378534,84463,249594,44477,
2006,GA,9363941,44754,605,2169,,15511,26469,362712,85140,234445,43127,
2007,GA,9544750,46917,720,2198,,17291,26708,371248,90294,238436,42518,
2008,GA,9685744,47353,640,2334,,17808,26571,387917,100564,247709,39644,
2009,GA,9829211,42073,566,2323,,14631,24553,360985,98606,229216,33163,
2010,GA,9712157,39068,555,2107,,12372,24034,353449,96947,226161,30341,
2011,GA,9812460,36762,549,2066,,12266,21881,357235,96014,231543,29678,
2012,GA,9915646,37675,583,2143,,12502,22447,339473,86992,223875,28606,
2013,GA,9994759,37519,563,2022,2891,12704,21361,339808,83459,229190,27159,
2014,GA,10097132,38955,607,2209,3147,12786,22415,339146,78029,233359,27758,
2015,GA,10199398,38891,622,3257,2343,12545,22467,316013,68149,220715,27149,
2016,GA,10310371,40990,681,3509,2528,12205,24595,309770,63344,219625,26801,
1995,HI,1187000,3509,56,336,,1553,1564,81938,13832,59907,8199,
1996,HI,1184000,3322,40,326,,1606,1350,74639,12781,54701,7157,
1997,HI,1187000,3299,47,371,,1403,1478,68193,12741,48984,6468,
1998,HI,1193000,2946,24,352,,1225,1345,60677,11169,43914,5594,
1999,HI,1185497,2785,44,354,,1044,1343,54539,9421,40458,4660,
2000,HI,1211537,2954,35,346,,1123,1450,60033,10665,43254,6114,
2001,HI,1227024,3117,32,409,,1142,1534,62830,11162,44925,6743,
2002,HI,1240663,3262,24,372,,1210,1656,71976,12722,49344,9910,
2003,HI,1248755,3400,22,367,,1168,1843,65867,11409,44807,9651,
2004,HI,1262124,3213,33,333,,944,1903,60525,10827,41078,8620,
2005,HI,1273278,3253,24,343,,1001,1885,61115,9792,42188,9135,
2006,HI,1285498,3608,21,353,,1144,2090,54247,8724,37784,7739,
2007,HI,1283388,3544,24,377,,1122,2021,52866,9089,37494,6283,
2008,HI,1288198,3510,26,363,,1085,2036,45944,9404,31424,5116,
2009,HI,1295178,3550,23,385,,1030,2112,47516,9244,33415,4857,
2010,HI,1363359,3603,25,377,,1065,2136,45667,8706,31681,5280,
2011,HI,1378129,3465,20,353,,994,2098,43874,8165,31240,4469,
2012,HI,1390090,3378,21,279,,1125,1953,43419,7653,31901,3865,
2013,HI,1408987,3585,32,366,508,934,2111,45266,7777,32928,4561,
2014,HI,1420257,3362,20,388,548,952,1842,46022,7470,33003,5549,
2015,HI,1431603,4201,19,400,561,1203,2418,54346,6557,42010,5779,
2016,HI,1428557,4417,35,619,447,994,2769,42753,6017,31082,5654,
1995,ID,1163000,3745,48,330,,279,3088,47444,9069,35560,2815,
1996,ID,1189000,3177,43,313,,241,2580,44532,8431,33872,2229,
1997,ID,1210000,3107,39,350,,237,2481,44388,9175,32784,2429,
1998,ID,1229000,3468,36,386,,264,2782,42185,8518,31385,2282,
1999,ID,1251700,3066,25,417,,223,2401,36363,7641,26824,1898,
2000,ID,1293953,3267,16,384,,223,2644,37961,7330,28545,2086,
2001,ID,1320585,3211,30,425,,245,2511,38181,7507,28285,2389,
2002,ID,1343124,3419,36,497,,240,2646,39128,7441,29060,2627,
2003,ID,1367034,3362,26,535,,245,2556,40042,7837,29559,2646,
2004,ID,1395140,3452,31,594,,241,2586,38799,7671,28389,2739,
2005,ID,1429367,3670,35,577,,266,2792,38556,8066,27606,2884,
2006,ID,1466465,3666,35,611,,294,2726,35135,7545,25154,2436,
2007,ID,1499402,3841,49,607,,243,2942,34124,7131,24727,2266,
2008,ID,1523816,3680,23,579,,239,2839,31940,6748,23532,1660,
2009,ID,1545801,3805,24,575,,254,2952,31220,6682,23066,1472,
2010,ID,1571102,3464,22,533,,213,2696,31436,6513,23594,1329,
2011,ID,1583744,3202,35,444,,188,2535,32875,6915,24629,1331,
2012,ID,1595590,3348,30,495,,243,2580,31825,7240,23203,1382,
2013,ID,1612843,3471,29,516,674,220,2548,30230,6693,21999,1538,
2014,ID,1634806,3439,32,463,645,203,2559,30440,6466,22297,1677,
2015,ID,1652828,3593,32,703,508,191,2667,28912,6124,20916,1872,
2016,ID,1683140,3876,49,719,529,213,2895,29357,6318,20962,2077,
1995,IL,11830000,117836,1221,4313,,39139,73163,527572,108555,357143,61874,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
1996,IL,11847000,105482,1179,4548,,33106,66649,524777,108185,358515,58077,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
1997,IL,11896000,102476,1096,4415,,33123,63842,509113,103550,350140,55423,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
