year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats
1995,,262803276,1798792,21606,97470,,580509,1099207,12063935,2593784,7997710,1472441,
1996,,265228572,1688540,19645,96252,,535594,1037049,11805323,2506400,7904685,1394238,
1997,,267783607,1636099,18211,96153,,498534,1023201,11558975,2461026,7743760,1354189,
1998,,270248003,1533887,16974,93144,,447186,976583,10951827,2332735,7376311,1242781,
1999,,272690813,1426044,15522,89411,,409371,911740,10208334,2100739,6955520,1152075,
2000,,281421906,1425486,15586,90178,,408016,911706,10182584,2050992,6971590,1160002,
2001,,285317559,1439480,16037,90863,,423557,909023,10437189,2116531,7092267,1228391,"The murder and nonnegligent homicides that occurred as a result of the events of September 11, 2001, are not included in this table."
2002,,287973924,1423677,16229,95235,,420806,891407,10455277,2151252,7057379,1246646,
2003,,290788976,1383676,16528,93883,,414235,859030,10442862,2154834,7026802,1261226,
2004,,293656842,1360088,16148,95089,,401470,847381,10319386,2144446,6937089,1237851,
2005,,296507061,1390745,16740,94347,,417438,862220,10174754,2155448,6783447,1235859,